_id,createdAt,name,pollingStation,updatedAt
6028cdf5be48b504bc4f61d5,2021-02-14T07:15:01.853Z,E-I,6028a259be48b504bc4f60f0,2021-02-14T07:15:01.853Z
6028cdfcbe48b504bc4f61d6,2021-02-14T07:15:08.099Z,J-L,6028a259be48b504bc4f60f0,2021-02-14T07:15:08.099Z
6028ce01be48b504bc4f61d7,2021-02-14T07:15:13.317Z,M-R,6028a259be48b504bc4f60f0,2021-02-14T07:15:13.317Z
6028ce05be48b504bc4f61d8,2021-02-14T07:15:17.971Z,S-Z,6028a259be48b504bc4f60f0,2021-02-14T07:15:17.971Z
6028ce60be48b504bc4f61d9,2021-02-14T07:16:48.464Z,A-C,6028a15ebe48b504bc4f60e9,2021-02-14T07:16:48.464Z
6028ce65be48b504bc4f61da,2021-02-14T07:16:53.710Z,D-F,6028a15ebe48b504bc4f60e9,2021-02-14T07:16:53.710Z
6028ce6cbe48b504bc4f61db,2021-02-14T07:17:00.580Z,G-JOR,6028a15ebe48b504bc4f60e9,2021-02-14T07:17:00.580Z
6028ce77be48b504bc4f61dc,2021-02-14T07:17:11.047Z,JOS-O,6028a15ebe48b504bc4f60e9,2021-02-14T07:17:11.047Z
6028ce7cbe48b504bc4f61dd,2021-02-14T07:17:16.836Z,P-SO,6028a15ebe48b504bc4f60e9,2021-02-14T07:17:16.836Z
6028ce82be48b504bc4f61de,2021-02-14T07:17:22.097Z,ST-Z,6028a15ebe48b504bc4f60e9,2021-02-14T07:17:22.097Z
6028ce98be48b504bc4f61df,2021-02-14T07:17:44.451Z,A-G,6028a173be48b504bc4f60ea,2021-02-14T07:17:44.451Z
6028ce9ebe48b504bc4f61e0,2021-02-14T07:17:50.439Z,H-M,6028a173be48b504bc4f60ea,2021-02-14T07:17:50.439Z
6028cea4be48b504bc4f61e1,2021-02-14T07:17:56.231Z,N-Z,6028a173be48b504bc4f60ea,2021-02-14T07:17:56.231Z
